word,original,pos,accent,note,source
あしながばち,足長蜂,名,LLLHLL,,近畿日本語アクセント辞典
あじ,味,名,HH,,近畿日本語アクセント辞典
あじない,味無い,形,HHLL,,近畿日本語アクセント辞典
あす,明日,名,HL,近年はHHが主流,近畿日本語アクセント辞典
あすか,飛鳥,名・地名,HLL,古い京都方言ではHHH。,近畿日本語アクセント辞典
あずき,小豆,名,HLL,古くはHHL。近年は、山型化したLHLが主流になりつつある。,近畿日本語アクセント辞典
あせ,汗,名,LH↘,,近畿日本語アクセント辞典
あそ,阿蘇,地名,HL,,近畿日本語アクセント辞典
あそこ,彼処,代,LLH,山型化したLHLが主流になりつつある。,近畿日本語アクセント辞典
あそぶ,遊ぶ,五段,LLH,,近畿日本語アクセント辞典
あたえる,与へる,下一段,HHHH,,近畿日本語アクセント辞典
あたたかい,温かい,形,HHHLL,派生形（あったかい）も同様,近畿日本語アクセント辞典
あたたかさ,暖かさ,名,HHHHL,,近畿日本語アクセント辞典
あたたかみ,温かみ,名,HHHHH,,近畿日本語アクセント辞典
あたためる,温める,下一段,HHHHH,,近畿日本語アクセント辞典
あたま,頭,名,HLL,山型化あり。古くはHHL。,近畿日本語アクセント辞典
あたらしい,新しい,形,HHHLL,,近畿日本語アクセント辞典
あたる,当たる,五段,HHH,,近畿日本語アクセント辞典
あだ,仇・徒,名,HL,,近畿日本語アクセント辞典
あちら,彼方,代,LLH,,近畿日本語アクセント辞典
あっち,彼方,代,LLH,,近畿日本語アクセント辞典
あつい,厚い,形,HLL,,近畿日本語アクセント辞典
あつさ,熱さ・暑さ,名,LHL,,近畿日本語アクセント辞典
あつまる,集まる,五段,HHHH,,近畿日本語アクセント辞典
あつめる,集める,下一段,HHHH,,近畿日本語アクセント辞典
あて,充て・宛て,動名詞・名,HH,,近畿日本語アクセント辞典
あてる,当てる,下一段,HHH,,近畿日本語アクセント辞典
あと,後,名,LH,,近畿日本語アクセント辞典
あとさき,後先,名,LHLL,,近畿日本語アクセント辞典
あな,穴,名,LH,,近畿日本語アクセント辞典
あない,,形動・副,HHH,,近畿日本語アクセント辞典
あなた,貴方,代,HHL,HHLアクセントの衰退により、HLL・LHLが混在。,近畿日本語アクセント辞典
あに,豈,副,HL,,近畿日本語アクセント辞典
あにい,兄,名,LHL,慣例的に三音節で発音する場合がある。,近畿日本語アクセント辞典
あにキ,兄貴,名,LHL,,近畿日本語アクセント辞典
あね,姉,名,HH,,近畿日本語アクセント辞典
あねさん,姉さん,名,HHHH,,近畿日本語アクセント辞典
あねキ,姉貴,名,LHL,,近畿日本語アクセント辞典
あの,あの,連体,HH,,近畿日本語アクセント辞典
あびせる,浴びせる,下一段,HHHH,,近畿日本語アクセント辞典
あびる,浴びる,上一段,HHH,,近畿日本語アクセント辞典
あぶ,虻,名,LH↘,,近畿日本語アクセント辞典
あぶら,脂・油,名,HLL,,近畿日本語アクセント辞典
あぶらみ,脂身,名,HHHH,東京式アクセントLHHHからの借用か？,近畿日本語アクセント辞典
あぶらむし,油虫,名,LLHLL,,近畿日本語アクセント辞典
あま,尼,名,HH,,近畿日本語アクセント辞典
あまい,甘い,形,HLL,,近畿日本語アクセント辞典
あまがさ,雨傘,名,LHLL,,近畿日本語アクセント辞典
あまやどり,雨宿り,名,LLHLL,,近畿日本語アクセント辞典
あまり,余り,副,HHH,古くはHHL。HHL型の崩壊に伴い、名詞との弁別性がうまれた。,近畿日本語アクセント辞典
あまる,余る,名,HHH,,近畿日本語アクセント辞典
あみ,網,名,HL,,近畿日本語アクセント辞典
あむ,編む,"Verb, 1-verb, Transitive verb",LH,,Wikibooks
あめ,飴,名,HH,,近畿日本語アクセント辞典
あめんぼ,水黽,名,LLLH,,近畿日本語アクセント辞典
あも,,名,HL,大阪では俗にLHLと三拍で発音されることもあるが、正則ではない,近畿日本語アクセント辞典
あや,綾・文,名,HL,,近畿日本語アクセント辞典
あやまった,誤った,五段PP,HHHHL,,近畿日本語アクセント辞典
あやまる,誤る,五段,HHHH,,近畿日本語アクセント辞典
あゆ,鮎,名,LH↘,,近畿日本語アクセント辞典
あゆむ,歩む,五段,HHH,,近畿日本語アクセント辞典
あら,粗,名,HL,,近畿日本語アクセント辞典
あらう,洗う,五段,HHH,,近畿日本語アクセント辞典
あらかじめ,予め,副,LLLLH,,近畿日本語アクセント辞典
あらくたい,荒くたい,形,HHHLL,,近畿日本語アクセント辞典
あらし,嵐,名,HLL,古くはHHL,近畿日本語アクセント辞典
あらす,荒らす,五段,HHH,,近畿日本語アクセント辞典
あらそう,争ふ,五段,HHHH,,近畿日本語アクセント辞典
あらた,新た,形動,LHL,元々HLL。山型化傾向,甲種日本語アクセント辞典
あらためる,改める,下一段,HHHHH,,近畿日本語アクセント辞典
あらへん,,連語,LHLL,派生形(あれへん（大阪）)も同様。,近畿日本語アクセント辞典
あらわす,表す,五段,HHHH,,近畿日本語アクセント辞典
あらわれる,表れる,下一段,HHHHH,,近畿日本語アクセント辞典
あり,蟻,名,HH,,近畿日本語アクセント辞典
ありがたい,有り難い,形,HHHLL,,近畿日本語アクセント辞典
ありがとう,有り難う,挨拶,LLLHL,,近畿日本語アクセント辞典
ありジゴク,蟻地獄,名,HHHLL,,近畿日本語アクセント辞典
ある,有る,五段,LH,,近畿日本語アクセント辞典
あるく,歩く,五段,LLH,,近畿日本語アクセント辞典
あれ,荒れ,動名詞,HH,,近畿日本語アクセント辞典
あわ,泡,名,HL,,近畿日本語アクセント辞典
あわい,淡い,形,HLL,,近畿日本語アクセント辞典
あわおこし,粟粔籹,名,HHHLL,,近畿日本語アクセント辞典
あわさる,合はさる,五段,HHHH,,近畿日本語アクセント辞典
あわじ,淡路,地名,HLL,古くはHHL。,近畿日本語アクセント辞典
あわじしま,淡路島,地名,LLHLL,,近畿日本語アクセント辞典
あわす,合わす,五段,HHH/LLH,他動詞の場合はLLH、自動詞の場合はHHH,近畿日本語アクセント辞典
あわす・あわさん,合わす,五段,HHH・HHHH （近世近畿・紀州龍神・阿波・土佐）HLL・HHLL,,甲種日本語アクセント辞典（OCR）
あわず・あわさん,合わす,五段,HHH・HHHH（近世近畿・紀州龍神・阿波・土佐）HLL・HHLL,,甲種日本語アクセント辞典
あわび,鮑,名,HLL,,近畿日本語アクセント辞典
あわれ,哀れ,形動・名,HLL,,近畿日本語アクセント辞典
あん,,名スル(俗),HL,,近畿日本語アクセント辞典
あんさん,兄さん,名,HLLL,,近畿日本語アクセント辞典
あんしん,安全,"Noun, Adjective, な-adjective",HHHH,,Wikibooks
あんしんする,安心する,"Irregular verb, Noun",HHHH HH,,Wikibooks
あんじょう,味良う,副,LLHL,,近畿日本語アクセント辞典
あんた,貴方,代,LLH/HLL,強勢形はHLL。,近畿日本語アクセント辞典
あんな,,連体,HHH,,近畿日本語アクセント辞典
あんな,,感(俗),LLH,「あのな」の接音便化。使用頻度は非常に高い。対照的に、「あのね」はほとんど用いぬ。,甲種日本語アクセント辞典（OCR）
あんないする,案内する,"Irregular verb, Noun",HHHH HH,,Wikibooks
あんまり,,副,HHHH,,近畿日本語アクセント辞典
い,井,名,H(HH),,近畿日本語アクセント辞典
いい,飯,名,HL,,近畿日本語アクセント辞典
いう,言ふ,五段,HH,,近畿日本語アクセント辞典
いえ,言え,五段(仮・命),HL,,近畿日本語アクセント辞典
いお,庵,名,HH,,近畿日本語アクセント辞典
いか,烏賊,名,HH,,近畿日本語アクセント辞典
いかが,如何,形動・副,LHL,,近畿日本語アクセント辞典
いかがわしい,如何わしい,形,HHHHLL,,近畿日本語アクセント辞典
いかす,生かす,五段,LLH,,近畿日本語アクセント辞典
いかなる,如何なる,連体,LHLL,,近畿日本語アクセント辞典
いかに,如何に,副,LHL,,近畿日本語アクセント辞典
いかるが,斑鳩,地名,HHHH,,近畿日本語アクセント辞典
いかん,,連語,HHH,,近畿日本語アクセント辞典
いが,伊賀,地名,HL,古くはLH↘,近畿日本語アクセント辞典
いがい,貽貝,名,LLH,,近畿日本語アクセント辞典
いき,壱岐,地名,HL,,近畿日本語アクセント辞典
いきもの,生き物,Noun,LLHL,,Wikibooks
いきる,生きる,上一段,LLH,,近畿日本語アクセント辞典
いきガイ,生き甲斐,名,LLLH,,近畿日本語アクセント辞典
いく,行く,五段,HH,,近畿日本語アクセント辞典
いくつ,幾つ,名・副,LLH/LHL,強勢形はLHL。,近畿日本語アクセント辞典
いくつか,幾つか,連語,LLHL,「歳はいくつかと訊く」のような間接疑問文の場合は、通則のままLHLLとなる。,近畿日本語アクセント辞典
いくら,幾ら,副,LLH/LHL,強勢形はLHL。,近畿日本語アクセント辞典
いけ,池,名,HL,,近畿日本語アクセント辞典
いけず,,名,LHL,,近畿日本語アクセント辞典
いけずいし,いけず石,名,LLHLL,,近畿日本語アクセント辞典
いけだ,池田,地名,HLL,若い世代ではLLHとも,近畿日本語アクセント辞典
いさかう,諍ふ,五段,HHHH,,近畿日本語アクセント辞典
いさがわ,率川,地名,HHHH,,近畿日本語アクセント辞典
いざ,誘,感,HL,,近畿日本語アクセント辞典
いし,石,名,HL,,近畿日本語アクセント辞典
いしずえ,礎,名,HHHH,,近畿日本語アクセント辞典
いしのみ,石蚤,名,HHHH,,近畿日本語アクセント辞典
いしゃ,医者,Noun,HH,,Wikibooks
いじめる,虐める,"Verb, 2-verb, Transitive verb",HHHH,,Wikibooks
いじわる,意地悪,"Noun, Adjective, な-adjective",LLLH,,Wikibooks
いす,椅子,Noun,HH,,Wikibooks
いず,伊豆,地名,LH↘,,近畿日本語アクセント辞典
いずこ,何処,代,HLL,東京式からの借用アクセント。古くはLHHと伝えられる。,近畿日本語アクセント辞典
いずみ,泉・和泉,名・地名,HHH,,近畿日本語アクセント辞典
いずれ,何れ,代・副,LLH,,近畿日本語アクセント辞典
いせ,伊勢,地名,HL,,近畿日本語アクセント辞典
いそ,磯,名,HH,,近畿日本語アクセント辞典
いそがしい,忙しい,形,HHHLL,,近畿日本語アクセント辞典
いそがみ,石上,地名,HHHH,,近畿日本語アクセント辞典
いそぐ,急ぐ,五段,HHH,,近畿日本語アクセント辞典
いた,板,名,LH,,近畿日本語アクセント辞典
いただきます,頂きます,挨拶,HHHHHH,,近畿日本語アクセント辞典
いただく,頂く,五段,HHHH,,近畿日本語アクセント辞典
いたる,至る,五段,HHH,,近畿日本語アクセント辞典
いち,市,名,LH,,近畿日本語アクセント辞典
いちにち,一日,"Noun, Adverbial Noun",HHHL,,Wikibooks
いちば,市場,名,LHL,,近畿日本語アクセント辞典
いちばん,一番,"Noun, Adverb","HLLL, HHLL",,Wikibooks
いちびり,,動名詞,LLHL,,近畿日本語アクセント辞典
いちびる,,五段,HHHH,動名詞のアクセント型から、古くはLLLHであった可能性が想定されうる。,近畿日本語アクセント辞典
いっしょ,一緒,Noun,LLH,,Wikibooks
